TIME,SST
1892-03-16,18.594776
1892-04-16,18.457869
1892-05-16,18.424189
1892-06-16,18.400944
1892-07-16,18.38902
1892-08-16,18.533428
1892-09-16,18.486002
1892-10-16,18.164135
1892-11-16,18.127409
1892-12-16,18.125792
1893-01-16,18.334042
1893-02-15,18.498182
1893-03-16,18.602194
1893-04-16,18.409193
1893-05-16,18.36513
1893-06-16,18.411566
1893-07-16,18.538332
1893-08-16,18.58587
1893-09-16,18.439657
1893-10-16,18.305107
1893-11-16,18.199665
1893-12-16,18.270466
1894-01-16,18.37562
1894-02-15,18.508892
1894-03-16,18.48448
1894-04-16,18.437237
1894-05-16,18.316944
1894-06-16,18.279203
1894-07-16,18.484001
1894-08-16,18.531233
1894-09-16,18.384815
1894-10-16,18.267466
1894-11-16,18.131142
1894-12-16,18.208479
1895-01-16,18.336231
1895-02-15,18.553051
1895-03-16,18.518661
1895-04-16,18.438335
1895-05-16,18.384253
1895-06-16,18.452044
1895-07-16,18.477423
1895-08-16,18.614294
1895-09-16,18.559444
1895-10-16,18.369644
1895-11-16,18.311527
1895-12-16,18.312365
1896-01-16,18.46593
1896-02-15,18.64682
1896-03-16,18.70225
1896-04-16,18.62205
1896-05-16,18.607044
1896-06-16,18.523514
1896-07-16,18.6105
1896-08-16,18.68523
1896-09-16,18.589903
1896-10-16,18.406425
1896-11-16,18.424803
1896-12-16,18.451437
1897-01-16,18.508091
1897-02-15,18.717194
1897-03-16,18.790966
1897-04-16,18.680616
1897-05-16,18.560678
1897-06-16,18.521456
1897-07-16,18.587318
1897-08-16,18.703804
1897-09-16,18.511078
1897-10-16,18.4109
1897-11-16,18.1965
1897-12-16,18.35224
1898-01-16,18.475601
1898-02-15,18.666271
1898-03-16,18.587542
1898-04-16,18.529242
1898-05-16,18.378965
1898-06-16,18.43585
1898-07-16,18.492424
1898-08-16,18.58397
1898-09-16,18.481638
1898-10-16,18.315508
1898-11-16,18.120674
1898-12-16,18.190159
1899-01-16,18.373503
1899-02-15,18.562391
1899-03-16,18.615799
1899-04-16,18.549438
1899-05-16,18.537746
1899-06-16,18.481493
1899-07-16,18.60918
1899-08-16,18.732239
1899-09-16,18.561197
1899-10-16,18.468225
1899-11-16,18.332626
1899-12-16,18.31937
1900-01-16,18.509869
1900-02-15,18.770712
1900-03-16,18.667128
1900-04-16,18.64684
1900-05-16,18.526285
1900-06-16,18.541336
1900-07-16,18.57909
1900-08-16,18.66265
1900-09-16,18.633476
1900-10-16,18.403582
1900-11-16,18.282722
1900-12-16,18.327038
1901-01-16,18.554781
1901-02-15,18.693241
1901-03-16,18.63092
1901-04-16,18.614977
1901-05-16,18.50535
1901-06-16,18.424976
1901-07-16,18.43316
1901-08-16,18.584503
1901-09-16,18.448786
1901-10-16,18.280931
1901-11-16,18.116152
1901-12-16,18.231236
1902-01-16,18.469088
1902-02-15,18.623234
1902-03-16,18.609
1902-04-16,18.51343
1902-05-16,18.423838
1902-06-16,18.363073
1902-07-16,18.479965
1902-08-16,18.531273
1902-09-16,18.459972
1902-10-16,18.284533
1902-11-16,18.160107
1902-12-16,18.219063
1903-01-16,18.369167
1903-02-15,18.613228
1903-03-16,18.527517
1903-04-16,18.442047
1903-05-16,18.382477
1903-06-16,18.280956
1903-07-16,18.369938
1903-08-16,18.388277
1903-09-16,18.254782
1903-10-16,18.15163
1903-11-16,18.115074
1903-12-16,18.115849
1904-01-16,18.28358
1904-02-15,18.423923
1904-03-16,18.429033
1904-04-16,18.356085
1904-05-16,18.299377
1904-06-16,18.297829
1904-07-16,18.418348
1904-08-16,18.460943
1904-09-16,18.382925
1904-10-16,18.280937
1904-11-16,18.153915
1904-12-16,18.226555
1905-01-16,18.339355
1905-02-15,18.478872
1905-03-16,18.517178
1905-04-16,18.409317
1905-05-16,18.365076
1905-06-16,18.387657
1905-07-16,18.525295
1905-08-16,18.567244
1905-09-16,18.464407
1905-10-16,18.260204
1905-11-16,18.164219
1905-12-16,18.252605
1906-01-16,18.449192
1906-02-15,18.612186
1906-03-16,18.557005
1906-04-16,18.491829
1906-05-16,18.345118
1906-06-16,18.455084
1906-07-16,18.470732
1906-08-16,18.623991
1906-09-16,18.464163
1906-10-16,18.314224
1906-11-16,18.119453
1906-12-16,18.174732
1907-01-16,18.30582
1907-02-15,18.452555
1907-03-16,18.541513
1907-04-16,18.37973
1907-05-16,18.278107
1907-06-16,18.282923
1907-07-16,18.322098
1907-08-16,18.441504
1907-09-16,18.416079
1907-10-16,18.22394
1907-11-16,18.118916
1907-12-16,18.170637
1908-01-16,18.234343
1908-02-15,18.427197
1908-03-16,18.4472
1908-04-16,18.333094
1908-05-16,18.254549
1908-06-16,18.336445
1908-07-16,18.42047
1908-08-16,18.488914
1908-09-16,18.37234
1908-10-16,18.236385
1908-11-16,18.094345
1908-12-16,18.110355
1909-01-16,18.29871
1909-02-15,18.41322
1909-03-16,18.416008
1909-04-16,18.412794
1909-05-16,18.335033
1909-06-16,18.243658
1909-07-16,18.300161
1909-08-16,18.463858
1909-09-16,18.443855
1909-10-16,18.28004
1909-11-16,18.058483
1909-12-16,18.150707
1910-01-16,18.315212
1910-02-15,18.4324
1910-03-16,18.438362
1910-04-16,18.332806
1910-05-16,18.240479
1910-06-16,18.252298
1910-07-16,18.375679
1910-08-16,18.48659
1910-09-16,18.36821
1910-10-16,18.176159
1910-11-16,18.06912
1910-12-16,18.08256
1911-01-16,18.266582
1911-02-15,18.351295
1911-03-16,18.376875
1911-04-16,18.22559
1911-05-16,18.20308
1911-06-16,18.206993
1911-07-16,18.348978
1911-08-16,18.474195
1911-09-16,18.45342
1911-10-16,18.242188
1911-11-16,18.148348
1911-12-16,18.284159
1912-01-16,18.384716
1912-02-15,18.570671
1912-03-16,18.636526
1912-04-16,18.497307
1912-05-16,18.402037
1912-06-16,18.37279
1912-07-16,18.40443
1912-08-16,18.415577
1912-09-16,18.342968
1912-10-16,18.217669
1912-11-16,18.111013
1912-12-16,18.179852
1913-01-16,18.326508
1913-02-15,18.528017
1913-03-16,18.445393
1913-04-16,18.326742
1913-05-16,18.335243
1913-06-16,18.243141
1913-07-16,18.374727
1913-08-16,18.487339
1913-09-16,18.413473
1913-10-16,18.241913
1913-11-16,18.126043
1913-12-16,18.193665
1914-01-16,18.313766
1914-02-15,18.532415
1914-03-16,18.543604
1914-04-16,18.469782
1914-05-16,18.414795
1914-06-16,18.39476
1914-07-16,18.540487
1914-08-16,18.587112
1914-09-16,18.495617
1914-10-16,18.448732
1914-11-16,18.301064
1914-12-16,18.274303
1915-01-16,18.417807
1915-02-15,18.593363
1915-03-16,18.650974
1915-04-16,18.599545
1915-05-16,18.621452
1915-06-16,18.698902
1915-07-16,18.653671
1915-08-16,18.736212
1915-09-16,18.647367
1915-10-16,18.405352
1915-11-16,18.210451
1915-12-16,18.266615
1916-01-16,18.352337
1916-02-15,18.571432
1916-03-16,18.518143
1916-04-16,18.51574
1916-05-16,18.362991
1916-06-16,18.334
1916-07-16,18.365993
1916-08-16,18.540983
1916-09-16,18.45454
1916-10-16,18.321896
1916-11-16,18.05175
1916-12-16,18.195183
1917-01-16,18.264812
1917-02-15,18.41627
1917-03-16,18.439117
1917-04-16,18.43713
1917-05-16,18.257929
1917-06-16,18.321194
1917-07-16,18.44929
1917-08-16,18.62439
1917-09-16,18.589685
1917-10-16,18.329826
1917-11-16,18.104557
1917-12-16,18.16225
1918-01-16,18.281954
1918-02-15,18.40871
1918-03-16,18.498495
1918-04-16,18.405012
1918-05-16,18.341187
1918-06-16,18.354042
1918-07-16,18.427814
1918-08-16,18.455946
1918-09-16,18.39879
1918-10-16,18.314161
1918-11-16,18.22593
1918-12-16,18.248476
1919-01-16,18.507854
