TIME,SST
1889-05-16,20.18507
1889-06-16,20.10238
1889-07-16,20.01433
1889-08-16,20.037035
1889-09-16,20.04677
1889-10-16,19.827541
1889-11-16,19.790459
1889-12-16,19.819798
1890-01-16,19.825308
1890-02-15,20.040588
1890-03-16,20.131693
1890-04-16,20.03277
1890-05-16,19.923927
1890-06-16,19.809837
1890-07-16,19.814108
1890-08-16,19.854984
1890-09-16,19.748281
1890-10-16,19.718122
1890-11-16,19.625797
1890-12-16,19.74293
1891-01-16,19.836721
1891-02-15,20.033972
1891-03-16,20.173052
1891-04-16,20.174803
1891-05-16,20.122135
1891-06-16,20.038176
1891-07-16,20.016773
1891-08-16,20.093628
1891-09-16,20.0377
1891-10-16,19.929623
1891-11-16,19.800102
1891-12-16,19.85802
1892-01-16,19.951109
1892-02-15,20.230732
1892-03-16,20.160084
1892-04-16,20.062279
1892-05-16,20.024761
1892-06-16,19.947632
1892-07-16,19.865778
1892-08-16,19.964176
1892-09-16,19.948513
1892-10-16,19.66367
1892-11-16,19.672588
1892-12-16,19.657698
1893-01-16,19.846085
1893-02-15,20.00234
1893-03-16,20.149687
1893-04-16,19.999191
1893-05-16,19.955235
1893-06-16,19.949495
1893-07-16,20.011448
1893-08-16,20.013374
1893-09-16,19.904165
1893-10-16,19.814667
1893-11-16,19.748724
1893-12-16,19.799759
1894-01-16,19.88747
1894-02-15,20.015635
1894-03-16,20.026247
1894-04-16,20.030935
1894-05-16,19.91336
1894-06-16,19.819597
1894-07-16,19.96288
1894-08-16,19.964918
1894-09-16,19.856386
1894-10-16,19.779404
1894-11-16,19.684345
1894-12-16,19.752628
1895-01-16,19.860415
1895-02-15,20.076801
1895-03-16,20.08169
1895-04-16,20.049597
1895-05-16,19.998608
1895-06-16,20.011484
1895-07-16,19.975023
1895-08-16,20.086946
1895-09-16,20.057512
1895-10-16,19.912434
1895-11-16,19.89027
1895-12-16,19.874783
1896-01-16,20.013918
1896-02-15,20.183907
1896-03-16,20.272547
1896-04-16,20.243036
1896-05-16,20.22604
1896-06-16,20.081833
1896-07-16,20.109766
1896-08-16,20.144875
1896-09-16,20.092958
1896-10-16,19.953691
1896-11-16,20.012953
1896-12-16,20.028212
1897-01-16,20.072126
1897-02-15,20.275469
1897-03-16,20.381474
1897-04-16,20.31445
1897-05-16,20.192951
1897-06-16,20.097712
1897-07-16,20.100863
1897-08-16,20.17724
1897-09-16,20.016603
1897-10-16,19.958138
1897-11-16,19.77174
1897-12-16,19.901014
1898-01-16,20.000938
1898-02-15,20.180079
1898-03-16,20.137323
1898-04-16,20.133093
1898-05-16,19.993221
1898-06-16,19.98599
1898-07-16,19.973001
1898-08-16,20.018623
1898-09-16,19.956509
1898-10-16,19.856592
1898-11-16,19.700089
1898-12-16,19.748974
1899-01-16,19.907118
1899-02-15,20.08766
1899-03-16,20.176437
1899-04-16,20.15702
1899-05-16,20.15098
1899-06-16,20.04062
1899-07-16,20.097965
1899-08-16,20.190079
1899-09-16,20.047235
1899-10-16,20.003304
1899-11-16,19.913841
1899-12-16,19.89624
1900-01-16,20.062666
1900-02-15,20.316343
1900-03-16,20.252747
1900-04-16,20.279322
1900-05-16,20.15918
1900-06-16,20.121664
1900-07-16,20.093805
1900-08-16,20.127544
1900-09-16,20.132639
1900-10-16,19.943657
1900-11-16,19.865032
1900-12-16,19.907356
1901-01-16,20.112892
1901-02-15,20.228985
1901-03-16,20.204046
1901-04-16,20.238697
1901-05-16,20.13181
1901-06-16,19.993156
1901-07-16,19.935421
1901-08-16,20.041916
1901-09-16,19.93546
1901-10-16,19.815718
1901-11-16,19.686768
1901-12-16,19.7879
1902-01-16,20.00689
1902-02-15,20.157967
1902-03-16,20.18157
1902-04-16,20.143972
1902-05-16,20.056576
1902-06-16,19.94274
1902-07-16,19.993608
1902-08-16,20.006226
1902-09-16,19.958656
